# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	83	1447	+					dnaA		CALKRO_RS00005	1365		old_locus_tag=Calkro_0001
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	83	1447	+	WP_012660677.1	WP_012660677.1		chromosomal replication initiator protein DnaA	dnaA		CALKRO_RS00005	1365	454	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	1667	2773	+					dnaN		CALKRO_RS00015	1107		old_locus_tag=Calkro_0003
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	1667	2773	+	WP_013429084.1	WP_013429084.1		DNA polymerase III subunit beta	dnaN		CALKRO_RS00015	1107	368	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	2799	3860	+					recF		CALKRO_RS00020	1062		old_locus_tag=Calkro_0004
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	2799	3860	+	WP_013429085.1	WP_013429085.1		DNA replication and repair protein RecF	recF		CALKRO_RS00020	1062	353	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	3889	4173	+							CALKRO_RS00025	285		old_locus_tag=Calkro_0005
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	3889	4173	+	WP_012660681.1	WP_012660681.1		DUF370 domain-containing protein			CALKRO_RS00025	285	94	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	4215	6122	+					gyrB		CALKRO_RS00030	1908		old_locus_tag=Calkro_0006
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	4215	6122	+	WP_041741822.1	WP_041741822.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CALKRO_RS00030	1908	635	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	6140	6316	+							CALKRO_RS13650	177		old_locus_tag=Calkro_0007
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	6140	6316	+	WP_013401986.1	WP_013401986.1		hypothetical protein			CALKRO_RS13650	177	58	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	6313	6693	+							CALKRO_RS00035	381		old_locus_tag=Calkro_0008
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	6313	6693	+	WP_013429087.1	WP_013429087.1		type II toxin-antitoxin system death-on-curing family toxin			CALKRO_RS00035	381	126	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	6722	9151	+					gyrA		CALKRO_RS00040	2430		old_locus_tag=Calkro_0009
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	6722	9151	+	WP_013429088.1	WP_013429088.1		DNA gyrase subunit A	gyrA		CALKRO_RS00040	2430	809	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	9441	11360	+							CALKRO_RS00045	1920		old_locus_tag=Calkro_0010
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	9441	11360	+	WP_013429089.1	WP_013429089.1		beta-propeller domain-containing protein			CALKRO_RS00045	1920	639	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	12909	21893	+							CALKRO_RS00055	8985		old_locus_tag=Calkro_0014
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	12909	21893	+	WP_013429091.1	WP_013429091.1		S-layer homology domain-containing protein			CALKRO_RS00055	8985	2994	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	21972	23312	+							CALKRO_RS00060	1341		old_locus_tag=Calkro_0015
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	21972	23312	+	WP_237699104.1	WP_237699104.1		hypothetical protein			CALKRO_RS00060	1341	446	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	23316	24077	+							CALKRO_RS00065	762		old_locus_tag=Calkro_0016
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	23316	24077	+	WP_013429093.1	WP_013429093.1		hypothetical protein			CALKRO_RS00065	762	253	
gene	pseudogene	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	24591	25631	-							CALKRO_RS00070	1041		pseudo;old_locus_tag=Calkro_0017
CDS	without_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	24591	25631	-				IS256 family transposase			CALKRO_RS00070	1041		pseudo
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	25873	28332	-					lexA		CALKRO_RS00075	2460		old_locus_tag=Calkro_0018
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	25873	28332	-	WP_013429094.1	WP_013429094.1		transcriptional repressor LexA	lexA		CALKRO_RS00075	2460	819	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	28589	29251	+							CALKRO_RS00080	663		old_locus_tag=Calkro_0019
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	28589	29251	+	WP_013429095.1	WP_013429095.1		peroxiredoxin			CALKRO_RS00080	663	220	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	29383	31644	-							CALKRO_RS00085	2262		old_locus_tag=Calkro_0020
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	29383	31644	-	WP_237699158.1	WP_237699158.1		UvrD-helicase domain-containing protein			CALKRO_RS00085	2262	753	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	31650	34760	-							CALKRO_RS00090	3111		old_locus_tag=Calkro_0021
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	31650	34760	-	WP_013429097.1	WP_013429097.1		hypothetical protein			CALKRO_RS00090	3111	1036	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	34782	35759	-							CALKRO_RS00095	978		old_locus_tag=Calkro_0022
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	34782	35759	-	WP_013429098.1	WP_013429098.1		phospholipase D family protein			CALKRO_RS00095	978	325	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	36213	37835	+							CALKRO_RS00100	1623		old_locus_tag=Calkro_0023
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	36213	37835	+	WP_202795076.1	WP_202795076.1		phosphoadenosine phosphosulfate reductase family protein			CALKRO_RS00100	1623	540	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	37841	38740	+							CALKRO_RS00105	900		old_locus_tag=Calkro_0024
CDS	with_protein	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	37841	38740	+	WP_013429100.1	WP_013429100.1		DUF4007 family protein			CALKRO_RS00105	900	299	
gene	protein_coding	GCF_000166775.1	Primary Assembly	chromosome		NC_014720.1	38709	42293	+							CALKRO_RS00110	3585		old_locus_tag=Calkro_0025
